level,speed_kph,shuttle_time_s,level_time_s,cum_time_s,cum_distance_m,VO2max
0101,8,9.00,,9.00,20,17
0102,8,9.00,,18.00,40,17
0103,8,9.00,,27.00,60,17
0104,8,9.00,,36.00,80,17
0105,8,9.00,,45.00,100,17
0106,8,9.00,,54.00,120,17
0107,8,9.00,63.00,63.00,140,17
0201,9,8.00,,71.00,160,24
0202,9,8.00,,79.00,180,24
0203,9,8.00,,87.00,200,24
0204,9,8.00,,95.00,220,24
0205,9,8.00,,103.00,240,24
0206,9,8.00,,111.00,260,24
0207,9,8.00,,119.00,280,24
0208,9,8.00,64.00,127.00,300,24
0301,9.5,7.58,,134.58,320,27
0302,9.5,7.58,,142.16,340,27
0303,9.5,7.58,,149.74,360,27
0304,9.5,7.58,,157.32,380,27
0305,9.5,7.58,,164.89,400,27
0306,9.5,7.58,,172.47,420,27
0307,9.5,7.58,,180.05,440,27
0308,9.5,7.58,60.63,187.63,460,27
0401,10,7.20,,194.83,480,31
0402,10,7.20,,202.03,500,31
0403,10,7.20,,209.23,520,31
0404,10,7.20,,216.43,540,31
0405,10,7.20,,223.63,560,31
0406,10,7.20,,230.83,580,31
0407,10,7.20,,238.03,600,31
0408,10,7.20,,245.23,620,31
0409,10,7.20,64.80,252.43,640,31
0501,10.5,6.86,,259.29,660,34
0502,10.5,6.86,,266.15,680,34
0503,10.5,6.86,,273.00,700,34
0504,10.5,6.86,,279.86,720,34
0505,10.5,6.86,,286.72,740,34
0506,10.5,6.86,,293.57,760,34
0507,10.5,6.86,,300.43,780,34
0508,10.5,6.86,,307.29,800,34
0509,10.5,6.86,61.71,314.15,820,34
0601,11,6.55,,320.69,840,37
0602,11,6.55,,327.24,860,37
0603,11,6.55,,333.78,880,37
0604,11,6.55,,340.33,900,37
0605,11,6.55,,346.87,920,37
0606,11,6.55,,353.42,940,37
0607,11,6.55,,359.96,960,37
0608,11,6.55,,366.51,980,37
0609,11,6.55,,373.05,1000,37
0610,11,6.55,65.45,379.60,1020,37
0701,11.5,6.26,,385.86,1040,41
0702,11.5,6.26,,392.12,1060,41
0703,11.5,6.26,,398.38,1080,41
0704,11.5,6.26,,404.64,1100,41
0705,11.5,6.26,,410.90,1120,41
0706,11.5,6.26,,417.17,1140,41
0707,11.5,6.26,,423.43,1160,41
0708,11.5,6.26,,429.69,1180,41
0709,11.5,6.26,,435.95,1200,41
0710,11.5,6.26,62.61,442.21,1220,41
0801,12,6.00,,448.21,1240,44
0802,12,6.00,,454.21,1260,44
0803,12,6.00,,460.21,1280,44
0804,12,6.00,,466.21,1300,44
0805,12,6.00,,472.21,1320,44
0806,12,6.00,,478.21,1340,44
0807,12,6.00,,484.21,1360,44
0808,12,6.00,,490.21,1380,44
0809,12,6.00,,496.21,1400,44
0810,12,6.00,,502.21,1420,44
0811,12,6.00,66.00,508.21,1440,44
0901,12.5,5.76,,513.97,1460,47
0902,12.5,5.76,,519.73,1480,47
0903,12.5,5.76,,525.49,1500,47
0904,12.5,5.76,,531.25,1520,47
0905,12.5,5.76,,537.01,1540,47
0906,12.5,5.76,,542.77,1560,47
0907,12.5,5.76,,548.53,1580,47
0908,12.5,5.76,,554.29,1600,47
0909,12.5,5.76,,560.05,1620,47
0910,12.5,5.76,,565.81,1640,47
0911,12.5,5.76,63.36,571.57,1660,47
1001,13,5.54,,577.11,1680,51
1002,13,5.54,,582.65,1700,51
1003,13,5.54,,588.18,1720,51
1004,13,5.54,,593.72,1740,51
1005,13,5.54,,599.26,1760,51
1006,13,5.54,,604.80,1780,51
1007,13,5.54,,610.34,1800,51
1008,13,5.54,,615.88,1820,51
1009,13,5.54,,621.42,1840,51
1010,13,5.54,,626.95,1860,51
1011,13,5.54,60.92,632.49,1880,51
1101,13.5,5.33,,637.83,1900,54
1102,13.5,5.33,,643.16,1920,54
1103,13.5,5.33,,648.49,1940,54
1104,13.5,5.33,,653.83,1960,54
1105,13.5,5.33,,659.16,1980,54
1106,13.5,5.33,,664.49,2000,54
1107,13.5,5.33,,669.83,2020,54
1108,13.5,5.33,,675.16,2040,54
1109,13.5,5.33,,680.49,2060,54
1110,13.5,5.33,,685.83,2080,54
1111,13.5,5.33,,691.16,2100,54
1112,13.5,5.33,64.00,696.49,2120,54
1201,14,5.14,,701.64,2140,57
1202,14,5.14,,706.78,2160,57
1203,14,5.14,,711.92,2180,57
1204,14,5.14,,717.06,2200,57
1205,14,5.14,,722.21,2220,57
1206,14,5.14,,727.35,2240,57
1207,14,5.14,,732.49,2260,57
1208,14,5.14,,737.64,2280,57
1209,14,5.14,,742.78,2300,57
1210,14,5.14,,747.92,2320,57
1211,14,5.14,,753.06,2340,57
1212,14,5.14,61.71,758.21,2360,57
1301,14.5,4.97,,763.17,2380,61
1302,14.5,4.97,,768.14,2400,61
1303,14.5,4.97,,773.10,2420,61
1304,14.5,4.97,,778.07,2440,61
1305,14.5,4.97,,783.03,2460,61
1306,14.5,4.97,,788.00,2480,61
1307,14.5,4.97,,792.97,2500,61
1308,14.5,4.97,,797.93,2520,61
1309,14.5,4.97,,802.90,2540,61
1310,14.5,4.97,,807.86,2560,61
1311,14.5,4.97,,812.83,2580,61
1312,14.5,4.97,,817.79,2600,61
1313,14.5,4.97,64.55,822.76,2620,61
1401,15,4.80,,827.56,2640,64
1402,15,4.80,,832.36,2660,64
1403,15,4.80,,837.16,2680,64
1404,15,4.80,,841.96,2700,64
1405,15,4.80,,846.76,2720,64
1406,15,4.80,,851.56,2740,64
1407,15,4.80,,856.36,2760,64
1408,15,4.80,,861.16,2780,64
1409,15,4.80,,865.96,2800,64
1410,15,4.80,,870.76,2820,64
1411,15,4.80,,875.56,2840,64
1412,15,4.80,,880.36,2860,64
1413,15,4.80,62.40,885.16,2880,64
1501,15.5,4.65,,889.80,2900,67
1502,15.5,4.65,,894.45,2920,67
1503,15.5,4.65,,899.09,2940,67
1504,15.5,4.65,,903.74,2960,67
1505,15.5,4.65,,908.38,2980,67
1506,15.5,4.65,,913.03,3000,67
1507,15.5,4.65,,917.67,3020,67
1508,15.5,4.65,,922.32,3040,67
1509,15.5,4.65,,926.96,3060,67
1510,15.5,4.65,,931.61,3080,67
1511,15.5,4.65,,936.25,3100,67
1512,15.5,4.65,,940.90,3120,67
1513,15.5,4.65,60.39,945.55,3140,67
1601,16,4.50,,950.05,3160,71
1602,16,4.50,,954.55,3180,71
1603,16,4.50,,959.05,3200,71
1604,16,4.50,,963.55,3220,71
1605,16,4.50,,968.05,3240,71
1606,16,4.50,,972.55,3260,71
1607,16,4.50,,977.05,3280,71
1608,16,4.50,,981.55,3300,71
1609,16,4.50,,986.05,3320,71
1610,16,4.50,,990.55,3340,71
1611,16,4.50,,995.05,3360,71
1612,16,4.50,,999.55,3380,71
1613,16,4.50,,1004.05,3400,71
1614,16,4.50,63.00,1008.55,3420,71
1701,16.5,4.36,,1012.91,3440,74
1702,16.5,4.36,,1017.27,3460,74
1703,16.5,4.36,,1021.64,3480,74
1704,16.5,4.36,,1026.00,3500,74
1705,16.5,4.36,,1030.36,3520,74
1706,16.5,4.36,,1034.73,3540,74
1707,16.5,4.36,,1039.09,3560,74
1708,16.5,4.36,,1043.45,3580,74
1709,16.5,4.36,,1047.82,3600,74
1710,16.5,4.36,,1052.18,3620,74
1711,16.5,4.36,,1056.55,3640,74
1712,16.5,4.36,,1060.91,3660,74
1713,16.5,4.36,,1065.27,3680,74
1714,16.5,4.36,61.09,1069.64,3700,74
1801,17,4.24,,1073.87,3720,77
1802,17,4.24,,1078.11,3740,77
1803,17,4.24,,1082.34,3760,77
1804,17,4.24,,1086.58,3780,77
1805,17,4.24,,1090.81,3800,77
1806,17,4.24,,1095.05,3820,77
1807,17,4.24,,1099.28,3840,77
1808,17,4.24,,1103.52,3860,77
1809,17,4.24,,1107.75,3880,77
1810,17,4.24,,1111.99,3900,77
1811,17,4.24,,1116.22,3920,77
1812,17,4.24,,1120.46,3940,77
1813,17,4.24,,1124.70,3960,77
1814,17,4.24,,1128.93,3980,77
1815,17,4.24,63.53,1133.17,4000,77
1901,17.5,4.11,,1137.28,4020,81
1902,17.5,4.11,,1141.39,4040,81
1903,17.5,4.11,,1145.51,4060,81
1904,17.5,4.11,,1149.62,4080,81
1905,17.5,4.11,,1153.74,4100,81
1906,17.5,4.11,,1157.85,4120,81
1907,17.5,4.11,,1161.97,4140,81
1908,17.5,4.11,,1166.08,4160,81
1909,17.5,4.11,,1170.19,4180,81
1910,17.5,4.11,,1174.31,4200,81
1911,17.5,4.11,,1178.42,4220,81
1912,17.5,4.11,,1182.54,4240,81
1913,17.5,4.11,,1186.65,4260,81
1914,17.5,4.11,,1190.77,4280,81
1915,17.5,4.11,61.71,1194.88,4300,81
2001,18,4.00,,1198.88,4320,84
2002,18,4.00,,1202.88,4340,84
2003,18,4.00,,1206.88,4360,84
2004,18,4.00,,1210.88,4380,84
2005,18,4.00,,1214.88,4400,84
2006,18,4.00,,1218.88,4420,84
2007,18,4.00,,1222.88,4440,84
2008,18,4.00,,1226.88,4460,84
2009,18,4.00,,1230.88,4480,84
2010,18,4.00,,1234.88,4500,84
2011,18,4.00,,1238.88,4520,84
2012,18,4.00,,1242.88,4540,84
2013,18,4.00,,1246.88,4560,84
2014,18,4.00,,1250.88,4580,84
2015,18,4.00,,1254.88,4600,84
2016,18,4.00,64.00,1258.88,4620,84
2101,18.5,3.89,,1262.77,4640,87
2102,18.5,3.89,,1266.66,4660,87
2103,18.5,3.89,,1270.56,4680,87
2104,18.5,3.89,,1274.45,4700,87
2105,18.5,3.89,,1278.34,4720,87
2106,18.5,3.89,,1282.23,4740,87
2107,18.5,3.89,,1286.12,4760,87
2108,18.5,3.89,,1290.02,4780,87
2109,18.5,3.89,,1293.91,4800,87
